,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Cluster
85,36.3,19.5,190,3800,1,0
86,36.9,18.6,189,3500,0,0
87,38.3,19.2,189,3950,1,0
88,38.9,18.8,190,3600,0,0
89,35.7,18,202,3550,0,0
90,41.1,18.1,205,4300,1,0
91,34,17.1,185,3400,0,0
92,39.6,18.1,186,4450,1,0
93,36.2,17.3,187,3300,0,0
94,40.8,18.9,208,4300,1,0
95,38.1,18.6,190,3700,0,0
96,40.3,18.5,196,4350,1,0
97,33.1,16.1,178,2900,0,0
98,43.2,18.5,192,4100,1,0
99,35,17.9,192,3725,0,0
100,41,20,203,4725,1,0
101,37.7,16,183,3075,0,0
102,37.8,20,190,4250,1,0
103,37.9,18.6,193,2925,0,0
104,39.7,18.9,184,3550,1,0
105,38.6,17.2,199,3750,0,0
106,38.2,20,190,3900,1,0
107,38.1,17,181,3175,0,0
108,43.2,19,197,4775,1,0
109,38.1,16.5,198,3825,0,0
110,45.6,20.3,191,4600,1,0
111,39.7,17.7,193,3200,0,0
112,42.2,19.5,197,4275,1,0
113,39.6,20.7,191,3900,0,0
114,42.7,18.3,196,4075,1,0
115,38.6,17,188,2900,0,0
116,37.3,20.5,199,3775,1,0
117,35.7,17,189,3350,0,0
118,41.1,18.6,189,3325,1,0
119,36.2,17.2,187,3150,0,0
120,37.7,19.8,198,3500,1,0
121,40.2,17,176,3450,0,0
122,41.4,18.5,202,3875,1,0
123,35.2,15.9,186,3050,0,0
124,40.6,19,199,4000,1,0
125,38.8,17.6,191,3275,0,0
126,41.5,18.3,195,4300,1,0
127,39,17.1,191,3050,0,0
128,44.1,18,210,4000,1,0
129,38.5,17.9,190,3325,0,0
130,43.1,19.2,197,3500,1,0
131,36.8,18.5,193,3500,0,0
132,37.5,18.5,199,4475,1,0
133,38.1,17.6,187,3425,0,0
134,41.1,17.5,190,3900,1,0
135,35.6,17.5,191,3175,0,0
136,40.2,20.1,200,3975,1,0
137,37,16.5,185,3400,0,0
138,39.7,17.9,193,4250,1,0
139,40.2,17.1,193,3400,0,0
140,40.6,17.2,187,3475,1,0
141,32.1,15.5,188,3050,0,0
142,40.7,17,190,3725,1,0
143,37.3,16.8,192,3000,0,0
144,39,18.7,185,3650,1,0
145,39.2,18.6,190,4250,1,0
146,36.6,18.4,184,3475,0,0
147,36,17.8,195,3450,0,0
148,37.8,18.1,193,3750,1,0
149,36,17.1,187,3700,0,0
150,41.5,18.5,201,4000,1,0
151,46.5,17.9,192,3500,0,0
152,50,19.5,196,3900,1,0
153,51.3,19.2,193,3650,1,0
154,45.4,18.7,188,3525,0,0
155,52.7,19.8,197,3725,1,0
156,45.2,17.8,198,3950,0,0
157,46.1,18.2,178,3250,0,0
158,51.3,18.2,197,3750,1,0
159,46,18.9,195,4150,0,0
160,51.3,19.9,198,3700,1,0
161,46.6,17.8,193,3800,0,0
162,51.7,20.3,194,3775,1,0
163,47,17.3,185,3700,0,0
164,52,18.1,201,4050,1,0
165,45.9,17.1,190,3575,0,0
166,50.5,19.6,201,4050,1,0
167,50.3,20,197,3300,1,0
168,58,17.8,181,3700,0,0
169,46.4,18.6,190,3450,0,0
170,49.2,18.2,195,4400,1,0
171,42.4,17.3,181,3600,0,0
172,48.5,17.5,191,3400,1,0
173,43.2,16.6,187,2900,0,0
174,50.6,19.4,193,3800,1,0
175,46.7,17.9,195,3300,0,0
176,52,19,197,4150,1,0
177,50.5,18.4,200,3400,0,0
178,49.5,19,200,3800,1,0
179,46.4,17.8,191,3700,0,0
180,52.8,20,205,4550,1,0
181,40.9,16.6,187,3200,0,0
182,54.2,20.8,201,4300,1,0
183,42.5,16.7,187,3350,0,0
184,51,18.8,203,4100,1,0
185,49.7,18.6,195,3600,1,0
186,47.5,16.8,199,3900,0,0
187,47.6,18.3,195,3850,0,0
188,52,20.7,210,4800,1,0
189,46.9,16.6,192,2700,0,0
190,53.5,19.9,205,4500,1,0
191,49,19.5,210,3950,1,0
192,46.2,17.5,187,3650,0,0
193,50.9,19.1,196,3550,1,0
194,45.5,17,196,3500,0,0
195,50.9,17.9,196,3675,0,0
196,50.8,18.5,201,4450,1,0
197,50.1,17.9,190,3400,0,0
198,49,19.6,212,4300,1,0
199,51.5,18.7,187,3250,1,0
200,49.8,17.3,198,3675,0,0
201,48.1,16.4,199,3325,0,0
202,51.4,19,201,3950,1,0
203,45.7,17.3,193,3600,0,0
204,50.7,19.7,203,4050,1,0
205,42.5,17.3,187,3350,0,0
206,52.2,18.8,197,3450,1,0
207,45.2,16.6,191,3250,0,0
208,49.3,19.9,203,4050,1,0
209,50.2,18.8,202,3800,1,0
210,45.6,19.4,194,3525,0,0
211,51.9,19.5,206,3950,1,0
212,46.8,16.5,189,3650,0,0
213,45.7,17,195,3650,0,0
214,55.8,19.8,207,4000,1,0
215,43.5,18.1,202,3400,0,0
216,49.6,18.2,193,3775,1,0
217,50.8,19,210,4100,1,0
218,50.2,18.7,198,3775,0,0
219,46.1,13.2,211,4500,0,1
220,50,16.3,230,5700,1,1
221,48.7,14.1,210,4450,0,1
222,50,15.2,218,5700,1,1
223,47.6,14.5,215,5400,1,1
224,46.5,13.5,210,4550,0,1
225,45.4,14.6,211,4800,0,1
226,46.7,15.3,219,5200,1,1
227,43.3,13.4,209,4400,0,1
228,46.8,15.4,215,5150,1,1
229,40.9,13.7,214,4650,0,1
230,49,16.1,216,5550,1,1
231,45.5,13.7,214,4650,0,1
232,48.4,14.6,213,5850,1,1
233,45.8,14.6,210,4200,0,1
234,49.3,15.7,217,5850,1,1
235,42,13.5,210,4150,0,1
236,49.2,15.2,221,6300,1,1
237,46.2,14.5,209,4800,0,1
238,48.7,15.1,222,5350,1,1
239,50.2,14.3,218,5700,1,1
240,45.1,14.5,215,5000,0,1
241,46.5,14.5,213,4400,0,1
242,46.3,15.8,215,5050,1,1
243,42.9,13.1,215,5000,0,1
244,46.1,15.1,215,5100,1,1
245,44.5,14.3,216,4100,1,1
246,47.8,15,215,5650,1,1
247,48.2,14.3,210,4600,0,1
248,50,15.3,220,5550,1,1
249,47.3,15.3,222,5250,1,1
250,42.8,14.2,209,4700,0,1
251,45.1,14.5,207,5050,0,1
252,59.6,17,230,6050,1,1
253,49.1,14.8,220,5150,0,1
254,48.4,16.3,220,5400,1,1
255,42.6,13.7,213,4950,0,1
256,44.4,17.3,219,5250,1,1
257,44,13.6,208,4350,0,1
258,48.7,15.7,208,5350,1,1
259,42.7,13.7,208,3950,0,1
260,49.6,16,225,5700,1,1
261,45.3,13.7,210,4300,0,1
262,49.6,15,216,4750,1,1
263,50.5,15.9,222,5550,1,1
264,43.6,13.9,217,4900,0,1
265,45.5,13.9,210,4200,0,1
266,50.5,15.9,225,5400,1,1
267,44.9,13.3,213,5100,0,1
268,45.2,15.8,215,5300,1,1
269,46.6,14.2,210,4850,0,1
270,48.5,14.1,220,5300,1,1
271,45.1,14.4,210,4400,0,1
272,50.1,15,225,5000,1,1
273,46.5,14.4,217,4900,0,1
274,45,15.4,220,5050,1,1
275,43.8,13.9,208,4300,0,1
276,45.5,15,220,5000,1,1
277,43.2,14.5,208,4450,0,1
278,50.4,15.3,224,5550,1,1
279,45.3,13.8,208,4200,0,1
280,46.2,14.9,221,5300,1,1
281,45.7,13.9,214,4400,0,1
282,54.3,15.7,231,5650,1,1
283,45.8,14.2,219,4700,0,1
284,49.8,16.8,230,5700,1,1
285,46.2,14.4,214,4650,1,1
286,49.5,16.2,229,5800,1,1
287,43.5,14.2,220,4700,0,1
288,50.7,15,223,5550,1,1
289,47.7,15,216,4750,0,1
290,46.4,15.6,221,5000,1,1
291,48.2,15.6,221,5100,1,1
292,46.5,14.8,217,5200,0,1
293,46.4,15,216,4700,0,1
294,48.6,16,230,5800,1,1
295,47.5,14.2,209,4600,0,1
296,51.1,16.3,220,6000,1,1
297,45.2,13.8,215,4750,0,1
298,45.2,16.4,223,5950,1,1
299,49.1,14.5,212,4625,0,1
300,52.5,15.6,221,5450,1,1
301,47.4,14.6,212,4725,0,1
302,50,15.9,224,5350,1,1
303,44.9,13.8,212,4750,0,1
304,50.8,17.3,228,5600,1,1
305,43.4,14.4,218,4600,0,1
306,51.3,14.2,218,5300,1,1
307,47.5,14,212,4875,0,1
308,52.1,17,230,5550,1,1
309,47.5,15,218,4950,0,1
310,52.2,17.1,228,5400,1,1
311,45.5,14.5,212,4750,0,1
312,49.5,16.1,224,5650,1,1
313,44.5,14.7,214,4850,0,1
314,50.8,15.7,226,5200,1,1
315,49.4,15.8,216,4925,1,1
316,46.9,14.6,222,4875,0,1
317,48.4,14.4,203,4625,0,1
318,51.1,16.5,225,5250,1,1
319,48.5,15,219,4850,0,1
320,55.9,17,228,5600,1,1
321,47.2,15.5,215,4975,0,1
322,49.1,15,228,5500,1,1
323,47.3,13.8,216,4725,1,1
324,46.8,16.1,215,5500,1,1
325,41.7,14.7,210,4700,0,1
326,53.4,15.8,219,5500,1,1
327,43.3,14,208,4575,0,1
328,48.1,15.1,209,5500,1,1
329,50.5,15.2,216,5000,0,1
330,49.8,15.9,229,5950,1,1
331,43.5,15.2,213,4650,0,1
332,51.5,16.3,230,5500,1,1
333,46.2,14.1,217,4375,0,1
334,55.1,16,230,5850,1,1
335,44.5,15.7,217,4875,1,1
336,48.8,16.2,222,6000,1,1
337,47.2,13.7,214,4925,0,1
338,46.8,14.3,215,4850,0,1
339,50.4,15.7,222,5750,1,1
340,45.2,14.8,212,5200,0,1
341,49.9,16.1,213,5400,1,1
