,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Cluster
272,50.1,15,225,5000,1,2
273,46.5,14.4,217,4900,0,2
274,45,15.4,220,5050,1,2
275,43.8,13.9,208,4300,0,2
276,45.5,15,220,5000,1,2
277,43.2,14.5,208,4450,0,2
278,50.4,15.3,224,5550,1,2
279,45.3,13.8,208,4200,0,2
280,46.2,14.9,221,5300,1,2
281,45.7,13.9,214,4400,0,2
282,54.3,15.7,231,5650,1,2
283,45.8,14.2,219,4700,0,2
284,49.8,16.8,230,5700,1,2
285,46.2,14.4,214,4650,1,2
286,49.5,16.2,229,5800,1,2
287,43.5,14.2,220,4700,0,2
288,50.7,15,223,5550,1,2
289,47.7,15,216,4750,0,2
290,46.4,15.6,221,5000,1,2
291,48.2,15.6,221,5100,1,2
292,46.5,14.8,217,5200,0,2
293,46.4,15,216,4700,0,2
294,48.6,16,230,5800,1,2
295,47.5,14.2,209,4600,0,2
296,51.1,16.3,220,6000,1,2
297,45.2,13.8,215,4750,0,2
298,45.2,16.4,223,5950,1,2
299,49.1,14.5,212,4625,0,2
300,52.5,15.6,221,5450,1,2
301,47.4,14.6,212,4725,0,2
302,50,15.9,224,5350,1,2
303,44.9,13.8,212,4750,0,2
304,50.8,17.3,228,5600,1,2
305,43.4,14.4,218,4600,0,2
306,51.3,14.2,218,5300,1,2
307,47.5,14,212,4875,0,2
308,52.1,17,230,5550,1,2
309,47.5,15,218,4950,0,2
310,52.2,17.1,228,5400,1,2
311,45.5,14.5,212,4750,0,2
312,49.5,16.1,224,5650,1,2
313,44.5,14.7,214,4850,0,2
314,50.8,15.7,226,5200,1,2
315,49.4,15.8,216,4925,1,2
316,46.9,14.6,222,4875,0,2
317,48.4,14.4,203,4625,0,2
318,51.1,16.5,225,5250,1,2
319,48.5,15,219,4850,0,2
320,55.9,17,228,5600,1,2
321,47.2,15.5,215,4975,0,2
322,49.1,15,228,5500,1,2
323,47.3,13.8,216,4725,1,2
324,46.8,16.1,215,5500,1,2
325,41.7,14.7,210,4700,0,2
326,53.4,15.8,219,5500,1,2
327,43.3,14,208,4575,0,2
328,48.1,15.1,209,5500,1,2
329,50.5,15.2,216,5000,0,2
330,49.8,15.9,229,5950,1,2
331,43.5,15.2,213,4650,0,2
332,51.5,16.3,230,5500,1,2
333,46.2,14.1,217,4375,0,2
334,55.1,16,230,5850,1,2
335,44.5,15.7,217,4875,1,2
336,48.8,16.2,222,6000,1,2
337,47.2,13.7,214,4925,0,2
338,46.8,14.3,215,4850,0,2
339,50.4,15.7,222,5750,1,2
340,45.2,14.8,212,5200,0,2
341,49.9,16.1,213,5400,1,2
