,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
229,40.9,13.7,214.0,4650.0,FEMALE
230,49.0,16.1,216.0,5550.0,MALE
231,45.5,13.7,214.0,4650.0,FEMALE
232,48.4,14.6,213.0,5850.0,MALE
233,45.8,14.6,210.0,4200.0,FEMALE
234,49.3,15.7,217.0,5850.0,MALE
235,42.0,13.5,210.0,4150.0,FEMALE
236,49.2,15.2,221.0,6300.0,MALE
237,46.2,14.5,209.0,4800.0,FEMALE
238,48.7,15.1,222.0,5350.0,MALE
239,50.2,14.3,218.0,5700.0,MALE
240,45.1,14.5,215.0,5000.0,FEMALE
241,46.5,14.5,213.0,4400.0,FEMALE
242,46.3,15.8,215.0,5050.0,MALE
243,42.9,13.1,215.0,5000.0,FEMALE
244,46.1,15.1,215.0,5100.0,MALE
245,44.5,14.3,216.0,4100.0,MALE
246,47.8,15.0,215.0,5650.0,MALE
247,48.2,14.3,210.0,4600.0,FEMALE
248,50.0,15.3,220.0,5550.0,MALE
249,47.3,15.3,222.0,5250.0,MALE
250,42.8,14.2,209.0,4700.0,FEMALE
251,45.1,14.5,207.0,5050.0,FEMALE
252,59.6,17.0,230.0,6050.0,MALE
253,49.1,14.8,220.0,5150.0,FEMALE
254,48.4,16.3,220.0,5400.0,MALE
255,42.6,13.7,213.0,4950.0,FEMALE
256,44.4,17.3,219.0,5250.0,MALE
257,44.0,13.6,208.0,4350.0,FEMALE
258,48.7,15.7,208.0,5350.0,MALE
259,42.7,13.7,208.0,3950.0,FEMALE
260,49.6,16.0,225.0,5700.0,MALE
261,45.3,13.7,210.0,4300.0,FEMALE
262,49.6,15.0,216.0,4750.0,MALE
263,50.5,15.9,222.0,5550.0,MALE
264,43.6,13.9,217.0,4900.0,FEMALE
265,45.5,13.9,210.0,4200.0,FEMALE
266,50.5,15.9,225.0,5400.0,MALE
267,44.9,13.3,213.0,5100.0,FEMALE
268,45.2,15.8,215.0,5300.0,MALE
269,46.6,14.2,210.0,4850.0,FEMALE
270,48.5,14.1,220.0,5300.0,MALE
271,45.1,14.4,210.0,4400.0,FEMALE
272,50.1,15.0,225.0,5000.0,MALE
273,46.5,14.4,217.0,4900.0,FEMALE
274,45.0,15.4,220.0,5050.0,MALE
275,43.8,13.9,208.0,4300.0,FEMALE
276,45.5,15.0,220.0,5000.0,MALE
277,43.2,14.5,208.0,4450.0,FEMALE
278,50.4,15.3,224.0,5550.0,MALE
279,45.3,13.8,208.0,4200.0,FEMALE
280,46.2,14.9,221.0,5300.0,MALE
281,45.7,13.9,214.0,4400.0,FEMALE
282,54.3,15.7,231.0,5650.0,MALE
283,45.8,14.2,219.0,4700.0,FEMALE
284,49.8,16.8,230.0,5700.0,MALE
285,46.2,14.4,214.0,4650.0,MALE
286,49.5,16.2,229.0,5800.0,MALE
287,43.5,14.2,220.0,4700.0,FEMALE
288,50.7,15.0,223.0,5550.0,MALE
289,47.7,15.0,216.0,4750.0,FEMALE
290,46.4,15.6,221.0,5000.0,MALE
291,48.2,15.6,221.0,5100.0,MALE
292,46.5,14.8,217.0,5200.0,FEMALE
293,46.4,15.0,216.0,4700.0,FEMALE
294,48.6,16.0,230.0,5800.0,MALE
295,47.5,14.2,209.0,4600.0,FEMALE
296,51.1,16.3,220.0,6000.0,MALE
297,45.2,13.8,215.0,4750.0,FEMALE
298,45.2,16.4,223.0,5950.0,MALE
299,49.1,14.5,212.0,4625.0,FEMALE
300,52.5,15.6,221.0,5450.0,MALE
301,47.4,14.6,212.0,4725.0,FEMALE
302,50.0,15.9,224.0,5350.0,MALE
303,44.9,13.8,212.0,4750.0,FEMALE
304,50.8,17.3,228.0,5600.0,MALE
305,43.4,14.4,218.0,4600.0,FEMALE
306,51.3,14.2,218.0,5300.0,MALE
307,47.5,14.0,212.0,4875.0,FEMALE
308,52.1,17.0,230.0,5550.0,MALE
309,47.5,15.0,218.0,4950.0,FEMALE
310,52.2,17.1,228.0,5400.0,MALE
311,45.5,14.5,212.0,4750.0,FEMALE
312,49.5,16.1,224.0,5650.0,MALE
313,44.5,14.7,214.0,4850.0,FEMALE
314,50.8,15.7,226.0,5200.0,MALE
315,49.4,15.8,216.0,4925.0,MALE
316,46.9,14.6,222.0,4875.0,FEMALE
317,48.4,14.4,203.0,4625.0,FEMALE
318,51.1,16.5,225.0,5250.0,MALE
319,48.5,15.0,219.0,4850.0,FEMALE
320,55.9,17.0,228.0,5600.0,MALE
321,47.2,15.5,215.0,4975.0,FEMALE
322,49.1,15.0,228.0,5500.0,MALE
323,47.3,13.8,216.0,4725.0,MALE
324,46.8,16.1,215.0,5500.0,MALE
325,41.7,14.7,210.0,4700.0,FEMALE
326,53.4,15.8,219.0,5500.0,MALE
327,43.3,14.0,208.0,4575.0,FEMALE
328,48.1,15.1,209.0,5500.0,MALE
329,50.5,15.2,216.0,5000.0,FEMALE
330,49.8,15.9,229.0,5950.0,MALE
331,43.5,15.2,213.0,4650.0,FEMALE
332,51.5,16.3,230.0,5500.0,MALE
333,46.2,14.1,217.0,4375.0,FEMALE
334,55.1,16.0,230.0,5850.0,MALE
335,44.5,15.7,217.0,4875.0,MALE
336,48.8,16.2,222.0,6000.0,MALE
337,47.2,13.7,214.0,4925.0,FEMALE
338,46.8,14.3,215.0,4850.0,FEMALE
339,50.4,15.7,222.0,5750.0,MALE
340,45.2,14.8,212.0,5200.0,FEMALE
341,49.9,16.1,213.0,5400.0,MALE
